[*] '/home/sense/Desktop/Lab03/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16ba0
Func         GOT Offset Symbol Offset
gop_663      1d500      16a30     
gop_664      1c758      14ee0     
gop_665      1b498      12960     
gop_666      1c788      14f40     
gop_667      1b4b8      129a0     
gop_668      1c728      14e80     
gop_669      1b470      12910     
gop_670      1d3f8      16820     
gop_671      1c100      14230     
gop_672      1d3e0      167f0     
gop_673      1c090      14150     
gop_674      1d530      16a90     
gop_675      1bd80      13b30     
gop_676      1d080      16130     
gop_677      1bd90      13b50     
gop_678      1d088      16140     
gop_679      1bd98      13b60     
gop_680      1bc48      138c0     
gop_681      1cef0      15e10     
gop_682      1bba8      13780     
gop_683      1d0b0      16190     
gop_684      1b8a0      13170     
gop_685      1cb78      15720     
gop_686      1b8a8      13180     
gop_687      1cb90      15750     
gop_688      1b8b8      131a0     
gop_689      1cba8      15780     
gop_690      1ca50      154d0     
gop_691      1b740      12eb0     
gop_692      1cbe8      15800     
gop_693      1b398      12760     
gop_694      1c6a0      14d70     
gop_695      1b3b0      12790     
gop_696      1c6c0      14db0     
gop_697      1b3c0      127b0     
gop_698      1c6d8      14de0     
gop_699      1b3e0      127f0     
gop_700      1bcc0      139b0     
gop_701      1ca70      15510     
gop_702      1b7d0      12fd0     
gop_703      1ca88      15540     
gop_704      1b7f0      13010     
gop_705      1caa0      15570     
gop_706      1b808      13040     
gop_707      1cab8      155a0     
gop_708      1bd58      13ae0     
gop_709      1d028      16080     
gop_710      1cf40      15eb0     
gop_711      1bc60      138f0     
gop_712      1cf58      15ee0     
gop_713      1bc88      13940     
gop_714      1cf70      15f10     
gop_715      1bca0      13970     
gop_716      1cf88      15f40     
gop_717      1c1b8      143a0     
gop_718      1d490      16950     
gop_719      1c1e0      143f0     
gop_720      1c130      14290     
gop_721      1b370      12710     
gop_722      1c670      14d3c     
gop_723      1b388      12740     
gop_724      1c688      14d40     
gop_725      1b330      12690     
